Cload_pF,fc_kHz,fp2_kHz,fz_kHz,PM_deg,Overshoot_%,Settling_us
10,1000,338627.5,159.2,85.0,0.6,6.2
100,1000,33862.8,159.2,85.0,0.6,6.2
1000,1000,3386.3,159.2,85.0,0.6,6.2
10000,1000,338.6,159.2,59.9,9.6,6.2
