Vset,Ibefore_mA,Iafter_mA,Ipeak_mA,overshoot_%,t_reg_us,E_nJ,flag
2,0.002,6.7,6.73,1,5,6.7,False
5,0.005,16.7,11.20,12,60,1501.2,True
