 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.00000000e-09  0.00000000e+00  2.00000000e-09  0.00000000e+00 
 4.00000000e-09  0.00000000e+00  4.00000000e-09  0.00000000e+00 
 8.00000000e-09  0.00000000e+00  8.00000000e-09  0.00000000e+00 
 1.60000000e-08  0.00000000e+00  1.60000000e-08  0.00000000e+00 
 3.20000000e-08  0.00000000e+00  3.20000000e-08  0.00000000e+00 
 6.40000000e-08  0.00000000e+00  6.40000000e-08  0.00000000e+00 
 1.28000000e-07  0.00000000e+00  1.28000000e-07  0.00000000e+00 
 2.56000000e-07  0.00000000e+00  2.56000000e-07  0.00000000e+00 
 4.56000000e-07  0.00000000e+00  4.56000000e-07  0.00000000e+00 
 6.56000000e-07  0.00000000e+00  6.56000000e-07  0.00000000e+00 
 8.56000000e-07  0.00000000e+00  8.56000000e-07  0.00000000e+00 
 1.05600000e-06  0.00000000e+00  1.05600000e-06  0.00000000e+00 
 1.25600000e-06  0.00000000e+00  1.25600000e-06  0.00000000e+00 
 1.45600000e-06  0.00000000e+00  1.45600000e-06  0.00000000e+00 
 1.65600000e-06  0.00000000e+00  1.65600000e-06  0.00000000e+00 
 1.85600000e-06  0.00000000e+00  1.85600000e-06  0.00000000e+00 
 2.05600000e-06  0.00000000e+00  2.05600000e-06  0.00000000e+00 
 2.25600000e-06  0.00000000e+00  2.25600000e-06  0.00000000e+00 
 2.45600000e-06  0.00000000e+00  2.45600000e-06  0.00000000e+00 
 2.65600000e-06  0.00000000e+00  2.65600000e-06  0.00000000e+00 
 2.85600000e-06  0.00000000e+00  2.85600000e-06  0.00000000e+00 
 3.05600000e-06  0.00000000e+00  3.05600000e-06  0.00000000e+00 
 3.25600000e-06  0.00000000e+00  3.25600000e-06  0.00000000e+00 
 3.45600000e-06  0.00000000e+00  3.45600000e-06  0.00000000e+00 
 3.65600000e-06  0.00000000e+00  3.65600000e-06  0.00000000e+00 
 3.85600000e-06  0.00000000e+00  3.85600000e-06  0.00000000e+00 
 4.05600000e-06  0.00000000e+00  4.05600000e-06  0.00000000e+00 
 4.25600000e-06  0.00000000e+00  4.25600000e-06  0.00000000e+00 
 4.45600000e-06  0.00000000e+00  4.45600000e-06  0.00000000e+00 
 4.65600000e-06  0.00000000e+00  4.65600000e-06  0.00000000e+00 
 4.85600000e-06  0.00000000e+00  4.85600000e-06  0.00000000e+00 
 5.05600000e-06  0.00000000e+00  5.05600000e-06  0.00000000e+00 
 5.25600000e-06  0.00000000e+00  5.25600000e-06  0.00000000e+00 
 5.45600000e-06  0.00000000e+00  5.45600000e-06  0.00000000e+00 
 5.65600000e-06  0.00000000e+00  5.65600000e-06  0.00000000e+00 
 5.85600000e-06  0.00000000e+00  5.85600000e-06  0.00000000e+00 
 6.05600000e-06  0.00000000e+00  6.05600000e-06  0.00000000e+00 
 6.25600000e-06  0.00000000e+00  6.25600000e-06  0.00000000e+00 
 6.45600000e-06  0.00000000e+00  6.45600000e-06  0.00000000e+00 
 6.65600000e-06  0.00000000e+00  6.65600000e-06  0.00000000e+00 
 6.85600000e-06  0.00000000e+00  6.85600000e-06  0.00000000e+00 
 7.05600000e-06  0.00000000e+00  7.05600000e-06  0.00000000e+00 
 7.25600000e-06  0.00000000e+00  7.25600000e-06  0.00000000e+00 
 7.45600000e-06  0.00000000e+00  7.45600000e-06  0.00000000e+00 
 7.65600000e-06  0.00000000e+00  7.65600000e-06  0.00000000e+00 
 7.85600000e-06  0.00000000e+00  7.85600000e-06  0.00000000e+00 
 8.05600000e-06  0.00000000e+00  8.05600000e-06  0.00000000e+00 
 8.25600000e-06  0.00000000e+00  8.25600000e-06  0.00000000e+00 
 8.45600000e-06  0.00000000e+00  8.45600000e-06  0.00000000e+00 
 8.65600000e-06  0.00000000e+00  8.65600000e-06  0.00000000e+00 
 8.85600000e-06  0.00000000e+00  8.85600000e-06  0.00000000e+00 
 9.05600000e-06  0.00000000e+00  9.05600000e-06  0.00000000e+00 
 9.25600000e-06  0.00000000e+00  9.25600000e-06  0.00000000e+00 
 9.45600000e-06  0.00000000e+00  9.45600000e-06  0.00000000e+00 
 9.65600000e-06  0.00000000e+00  9.65600000e-06  0.00000000e+00 
 9.82800000e-06  0.00000000e+00  9.82800000e-06  0.00000000e+00 
 1.00000000e-05  0.00000000e+00  1.00000000e-05  0.00000000e+00 
 1.00026880e-05  7.68997153e-06  1.00026880e-05  5.37600000e-03 
 1.00080640e-05  5.33480116e-05  1.00080640e-05  1.61280000e-02 
 1.00170957e-05  3.72813696e-04  1.00170957e-05  3.41914497e-02 
 1.00254421e-05  1.10893509e-03  1.00254421e-05  5.08842417e-02 
 1.00401486e-05  4.02699889e-03  1.00401486e-05  8.02971987e-02 
 1.00608549e-05  1.28204449e-02  1.00608549e-05  1.21709790e-01 
 1.00984793e-05  4.62390817e-02  1.00984793e-05  1.96958655e-01 
 1.01680519e-05  1.64626019e-01  1.01680519e-05  3.36103874e-01 
 1.02615072e-05  3.90442341e-01  1.02615072e-05  5.23014395e-01 
 1.03939159e-05  7.04802552e-01  1.03939159e-05  7.87831806e-01 
 1.05639259e-05  1.02980005e+00  1.05639259e-05  1.12785175e+00 
 1.07639259e-05  1.40687062e+00  1.07639259e-05  1.52785175e+00 
 1.08819629e-05  1.65451819e+00  1.08819629e-05  1.76392588e+00 
