setpoint_V,target_k2_uV,mean_uV,rms_uV,sigma_uV,U_k2_uV,p2_5_uV,p97_5_uV,worst_uV,headroom_k2_%,headroom_worst_%
0.000,500.0,-10.49,229.61,229.48,459.22,-452.12,403.60,620.99,8.2,-24.2
0.100,520.0,-8.05,227.04,227.01,454.08,-430.50,438.55,662.14,12.7,-27.3
-0.100,520.0,-4.93,225.03,225.09,450.07,-441.14,398.66,610.97,13.4,-17.5
0.500,600.0,-6.65,225.17,225.18,450.34,-394.41,430.26,619.51,24.9,-3.3
-0.500,600.0,-17.11,232.10,231.58,464.20,-435.34,430.83,592.88,22.6,1.2
1.000,700.0,-0.62,226.92,227.03,453.84,-414.03,447.45,617.29,35.2,11.8
-1.000,700.0,-8.37,230.12,230.08,460.23,-437.96,430.90,637.51,34.3,8.9
2.000,900.0,-12.99,233.66,233.42,467.32,-441.97,425.98,604.44,48.1,32.8
-2.000,900.0,-8.95,230.94,230.88,461.87,-442.19,433.88,627.15,48.7,30.3
5.000,1500.0,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,100.0,100.0
-5.000,1500.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.0,100.0
