setpoint_V,target_k2_uV,mean_uV,rms_uV,sigma_uV,U_k2_uV,p2_5_uV,p97_5_uV,worst_uV,headroom_k2_%,headroom_worst_%
0.000,500.0,10.29,232.48,232.36,464.95,-440.18,461.11,674.91,7.0,-35.0
0.100,520.0,5.28,236.30,236.36,472.60,-463.61,457.87,718.13,9.1,-38.1
-0.100,520.0,-8.45,231.66,231.63,463.33,-446.21,434.99,701.83,10.9,-35.0
0.500,600.0,-5.90,230.69,230.73,461.37,-446.98,455.28,719.90,23.1,-20.0
-0.500,600.0,-0.17,247.82,247.94,495.64,-475.40,455.30,703.83,17.4,-17.3
1.000,700.0,-7.07,232.41,232.41,464.81,-452.24,438.98,654.66,33.6,6.5
-1.000,700.0,1.70,230.60,230.71,461.19,-445.61,443.27,646.43,34.1,7.7
2.000,900.0,8.48,244.41,244.38,488.81,-443.37,474.18,722.29,45.7,19.7
-2.000,900.0,10.37,238.23,238.13,476.47,-443.40,461.28,740.27,47.1,17.7
5.000,1500.0,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,100.0,100.0
-5.000,1500.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.0,100.0
