Cload_pF,fc_kHz,fp2_kHz,fz_kHz,PM_deg,Overshoot_%,Settling_us
10,1000,482287.7,338.6,85.0,0.6,6.2
100,1000,48228.8,338.6,85.0,0.6,6.2
1000,1000,4822.9,338.6,85.0,0.6,6.2
10000,1000,482.3,338.6,57.2,11.2,6.2
