Vc_V,Vc_mV,Vsense_ideal_mV,Vsense_floored_mV,Error_mV,Region_code,Region_desc,LT1970_floor_OK,LT1970_linear_OK
1.500000,1500.00,150.0000,150.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.510000,1510.00,151.0000,151.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.520000,1520.00,152.0000,152.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.530000,1530.00,153.0000,153.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.540000,1540.00,154.0000,154.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.550000,1550.00,155.0000,155.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.560000,1560.00,156.0000,156.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.570000,1570.00,157.0000,157.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.580000,1580.00,158.0000,158.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.590000,1590.00,159.0000,159.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.600000,1600.00,160.0000,160.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.610000,1610.00,161.0000,161.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.620000,1620.00,162.0000,162.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.630000,1630.00,163.0000,163.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.640000,1640.00,164.0000,164.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.650000,1650.00,165.0000,165.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.660000,1660.00,166.0000,166.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.670000,1670.00,167.0000,167.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.680000,1680.00,168.0000,168.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.690000,1690.00,169.0000,169.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.700000,1700.00,170.0000,170.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.710000,1710.00,171.0000,171.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.720000,1720.00,172.0000,172.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.730000,1730.00,173.0000,173.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.740000,1740.00,174.0000,174.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.750000,1750.00,175.0000,175.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.760000,1760.00,176.0000,176.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.770000,1770.00,177.0000,177.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.780000,1780.00,178.0000,178.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.790000,1790.00,179.0000,179.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.800000,1800.00,180.0000,180.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
1.810000,1810.00,181.0000,181.0000,0.0000,2,VALID linear (Vc>=60mV),YES,YES
